model,configuration,n_splits,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,stage2_usage_mean,stage2_usage_std,n_stage2_mean,n_stage2_std
Logistic Regression,Stage 1 only,30,0.9105555555555556,0.036745821910002696,0.9691111111111111,0.01920160345227337,0.9097933349508968,0.037355182048298026,0.917997975568424,0.04879480766089692,0.9044444444444445,0.054480010277125096,0.9166666666666665,0.05160266707295413,0.0,0.0,0.0,0.0
Logistic Regression,Stage 1 + Stage 2,30,0.9177777777777777,0.03388433484883755,0.9635925925925927,0.01886449480328962,0.9167440625890493,0.03511966260678389,0.9273913840047915,0.04365306195377652,0.9088888888888889,0.05391445852276844,0.9266666666666666,0.047464445253456715,1.0,0.0,60.0,0.0
Logistic Regression,Cascade,30,0.9238888888888889,0.029257521328342497,0.9664074074074075,0.020625971000703625,0.92272968475187,0.030377559626183572,0.934951997262203,0.03383480627353492,0.912222222222222,0.045048576023976536,0.9355555555555554,0.034942024598097456,0.15222222222222223,0.04868644955601477,9.133333333333333,2.9211869733608857
Random Forest,Stage 1 only,30,0.8972222222222221,0.03392671088341071,0.9644629629629631,0.020782112427836757,0.8983326862669863,0.03295180340592837,0.8915122239050784,0.04716250782014394,0.9077777777777777,0.04769260875394994,0.8866666666666666,0.055086139441974755,0.0,0.0,0.0,0.0
Random Forest,Stage 1 + Stage 2,30,0.9211111111111112,0.03686293690818472,0.9745740740740739,0.019091589497887262,0.9213364921636352,0.036582715953993095,0.9198727221953599,0.04508303754044796,0.9244444444444444,0.047086236475105195,0.9177777777777778,0.04852880278630708,1.0,0.0,60.0,0.0
Random Forest,Cascade,30,0.9205555555555556,0.03882452253984585,0.9702037037037036,0.022763280749386276,0.9207912192333808,0.03866411789745277,0.9188019336648939,0.04625340180170348,0.9244444444444444,0.04946714791516478,0.9166666666666666,0.04932494492212718,0.40277777777777785,0.04895132724794996,24.166666666666668,2.9370796348769974
XGBoost,Stage 1 only,30,0.8527777777777779,0.041078220248685175,0.9354074074074074,0.025294743299705266,0.8485106293185004,0.0433388268642124,0.8734130164659999,0.05259809356854799,0.8288888888888888,0.06765550178732332,0.8766666666666666,0.05683207771559353,0.0,0.0,0.0,0.0
XGBoost,Stage 1 + Stage 2,30,0.8722222222222222,0.04113647348558381,0.9415925925925925,0.027440377462992018,0.8672183010844703,0.043828833339414404,0.9001210858894012,0.04576812376934776,0.8388888888888889,0.061328418926885106,0.9055555555555554,0.04555602279921116,1.0,0.0,60.0,0.0
XGBoost,Cascade,30,0.8705555555555555,0.036273580871220096,0.943,0.024056747866711328,0.8649115279719436,0.03979312634818295,0.9012126629380687,0.04264482670425415,0.8344444444444442,0.06401827644531968,0.9066666666666666,0.04324039547421234,0.175,0.046061345069141696,10.5,2.7636807041485016
