split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
3,Random Forest,Cascade,0.4666666666666667,28,0.95,0.9777777777777777,0.9523809523809523,0.9090909090909091,1.0,0.9,27,3,0,30
3,XGBoost,Stage 1 only,0.0,0,0.8333333333333334,0.9288888888888889,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9,27,3,7,23
3,XGBoost,Stage 1 + Stage 2,1.0,60,0.8666666666666667,0.94,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
3,XGBoost,Cascade,0.16666666666666666,10,0.85,0.9333333333333333,0.8421052631578947,0.8888888888888888,0.8,0.9,27,3,6,24
4,Logistic Regression,Stage 1 only,0.0,0,0.8666666666666667,0.9322222222222222,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
4,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9,0.9544444444444444,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
4,Logistic Regression,Cascade,0.16666666666666666,10,0.9166666666666666,0.9588888888888889,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
4,Random Forest,Stage 1 only,0.0,0,0.9,0.9461111111111111,0.9,0.9,0.9,0.9,27,3,3,27
4,Random Forest,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9488888888888889,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
4,Random Forest,Cascade,0.5333333333333333,32,0.9166666666666666,0.941111111111111,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
4,XGBoost,Stage 1 only,0.0,0,0.7833333333333333,0.8922222222222222,0.7719298245614035,0.8148148148148148,0.7333333333333333,0.8333333333333334,25,5,8,22
4,XGBoost,Stage 1 + Stage 2,1.0,60,0.8666666666666667,0.9233333333333333,0.8571428571428571,0.9230769230769231,0.8,0.9333333333333333,28,2,6,24
4,XGBoost,Cascade,0.3,18,0.8666666666666667,0.9555555555555555,0.8571428571428571,0.9230769230769231,0.8,0.9333333333333333,28,2,6,24
5,Logistic Regression,Stage 1 only,0.0,0,0.9,0.9733333333333334,0.9,0.9,0.9,0.9,27,3,3,27
5,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9,0.9366666666666668,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
5,Logistic Regression,Cascade,0.11666666666666667,7,0.9166666666666666,0.9811111111111112,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
5,Random Forest,Stage 1 only,0.0,0,0.9666666666666667,0.995,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
5,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.991111111111111,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
5,Random Forest,Cascade,0.36666666666666664,22,0.9333333333333333,0.9911111111111112,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
5,XGBoost,Stage 1 only,0.0,0,0.8666666666666667,0.9677777777777777,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
5,XGBoost,Stage 1 + Stage 2,1.0,60,0.8166666666666667,0.9288888888888889,0.8135593220338984,0.8275862068965517,0.8,0.8333333333333334,25,5,6,24
5,XGBoost,Cascade,0.16666666666666666,10,0.8666666666666667,0.9644444444444444,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
6,Logistic Regression,Stage 1 only,0.0,0,0.9166666666666666,0.9644444444444444,0.9090909090909091,1.0,0.8333333333333334,1.0,30,0,5,25
6,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.8666666666666667,0.9277777777777777,0.8518518518518519,0.9583333333333334,0.7666666666666667,0.9666666666666667,29,1,7,23
6,Logistic Regression,Cascade,0.25,15,0.9166666666666666,0.9488888888888889,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
6,Random Forest,Stage 1 only,0.0,0,0.9333333333333333,0.9855555555555555,0.9310344827586207,0.9642857142857143,0.9,0.9666666666666667,29,1,3,27
6,Random Forest,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9916666666666667,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
6,Random Forest,Cascade,0.45,27,0.9166666666666666,0.9916666666666667,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
6,XGBoost,Stage 1 only,0.0,0,0.85,0.9233333333333333,0.8421052631578947,0.8888888888888888,0.8,0.9,27,3,6,24
6,XGBoost,Stage 1 + Stage 2,1.0,60,0.8333333333333334,0.9511111111111112,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9333333333333333,28,2,8,22
6,XGBoost,Cascade,0.18333333333333332,11,0.8333333333333334,0.9555555555555556,0.8076923076923077,0.9545454545454546,0.7,0.9666666666666667,29,1,9,21
7,Logistic Regression,Stage 1 only,0.0,0,0.95,0.9877777777777778,0.9523809523809523,0.9090909090909091,1.0,0.9,27,3,0,30
7,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.95,0.9811111111111112,0.9508196721311475,0.9354838709677419,0.9666666666666667,0.9333333333333333,28,2,1,29
7,Logistic Regression,Cascade,0.16666666666666666,10,0.95,0.9833333333333334,0.9508196721311475,0.9354838709677419,0.9666666666666667,0.9333333333333333,28,2,1,29
7,Random Forest,Stage 1 only,0.0,0,0.9166666666666666,0.9838888888888889,0.9230769230769231,0.8571428571428571,1.0,0.8333333333333334,25,5,0,30
