scenario,model,configuration,threshold_low,threshold_high,n_splits,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,stage2_usage_mean,stage2_usage_std,n_stage2_mean,n_stage2_std
medium,Logistic Regression,Cascade,0.2,0.8,30,0.7933333333333333,0.03321819194149596,0.8624814814814815,0.03403937235674777,0.7967999045412177,0.03221582046095699,0.7856904672123243,0.0432632176912628,0.8111111111111112,0.05053986957192689,0.7755555555555556,0.05932786577761496,0.4311111111111111,0.06308379960551853,25.866666666666667,3.7850279763311123
medium,Logistic Regression,Cascade,0.3,0.7,30,0.7894444444444445,0.03403945573324552,0.8544444444444445,0.03268331736094846,0.793234481984978,0.032374133987288306,0.7813190306740331,0.043387555812857866,0.8077777777777778,0.04521835769116432,0.7711111111111111,0.05722398911083836,0.2783333333333333,0.06223026083815392,16.7,3.733815650289236
medium,Logistic Regression,Cascade,0.4,0.6,30,0.7816666666666666,0.032562936409147834,0.8437037037037036,0.026707078786893955,0.7865064805558187,0.03356899354677647,0.7709665718874562,0.042782901145439575,0.8066666666666666,0.06026760247467936,0.7566666666666666,0.06199122419661221,0.13,0.03724208882536837,7.8,2.234525329522103
medium,Logistic Regression,Stage 1 + Stage 2,,,30,0.795,0.030371265912099363,0.8827037037037038,0.02731442409400831,0.7985983359677568,0.029005001742006188,0.787122266076837,0.04147981935446565,0.8133333333333334,0.04762561531063382,0.7766666666666667,0.059467625372407074,1.0,0.0,60.0,0.0
medium,Logistic Regression,Stage 1 only,,,30,0.7566666666666666,0.03677622086968617,0.8334814814814815,0.030453830436887565,0.7637626178961414,0.037420586911928025,0.7450590824365156,0.05019578152939867,0.7899999999999999,0.07279320417946064,0.7233333333333333,0.08030115728972384,0.0,0.0,0.0,0.0
medium,Random Forest,Cascade,0.2,0.8,30,0.951111111111111,0.022714846248701997,0.9937962962962963,0.00560909704252546,0.9532445177557899,0.02111652007097134,0.9210817479484462,0.03858796123747264,0.9888888888888889,0.018222409119684476,0.9133333333333334,0.04514769292273093,0.4311111111111111,0.07564959214580282,25.866666666666667,4.538975528748168
medium,Random Forest,Cascade,0.3,0.7,30,0.9527777777777777,0.02319471688646291,0.994462962962963,0.005073917925089411,0.9550025060872496,0.021570726468099155,0.9204649469758578,0.038994225371690214,0.9933333333333334,0.016141139937050058,0.9122222222222223,0.04589120345206056,0.21944444444444444,0.0580796344133532,13.166666666666666,3.4847780648011915
medium,Random Forest,Cascade,0.4,0.6,30,0.9516666666666667,0.023712033577879137,0.9932777777777777,0.00561529186838356,0.9541462281328754,0.021757772954255922,0.9169620199008244,0.0400427817055666,0.9955555555555555,0.011524863454725337,0.9077777777777778,0.04769260875394993,0.08333333333333333,0.03890257011671367,5.0,2.334154207002821
medium,Random Forest,Stage 1 + Stage 2,,,30,0.951111111111111,0.022714846248701997,0.9916851851851851,0.007100332068415219,0.9532445177557899,0.02111652007097134,0.9210817479484462,0.03858796123747264,0.9888888888888889,0.018222409119684476,0.9133333333333334,0.04514769292273093,1.0,0.0,60.0,0.0
medium,Random Forest,Stage 1 only,,,30,0.9466666666666667,0.024913643956121962,0.9931296296296297,0.005880322210594488,0.9493955142724417,0.022629931987956185,0.9125146251071299,0.0437890893517492,0.9911111111111112,0.021322794331649724,0.9022222222222223,0.05247391859602711,0.0,0.0,0.0,0.0
