scenario,split,model,configuration,threshold_low,threshold_high,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
weak,3,Random Forest,Stage 1 only,,,0.0,0,0.9,0.9294444444444444,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,3,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9,0.9472222222222222,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,Random Forest,Cascade,0.2,0.8,0.5333333333333333,32,0.8833333333333333,0.9172222222222222,0.8955223880597015,0.8108108108108109,1.0,0.7666666666666667,23,7,0,30
weak,3,Random Forest,Cascade,0.3,0.7,0.2,12,0.9,0.9227777777777778,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,Random Forest,Cascade,0.4,0.6,0.06666666666666667,4,0.9,0.9111111111111111,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,XGBoost,Stage 1 only,,,0.0,0,0.8833333333333333,0.941111111111111,0.8923076923076924,0.8285714285714286,0.9666666666666667,0.8,24,6,1,29
weak,3,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8166666666666667,0.8922222222222222,0.835820895522388,0.7567567567567568,0.9333333333333333,0.7,21,9,2,28
weak,3,XGBoost,Cascade,0.2,0.8,0.21666666666666667,13,0.85,0.898888888888889,0.8695652173913043,0.7692307692307693,1.0,0.7,21,9,0,30
weak,3,XGBoost,Cascade,0.3,0.7,0.15,9,0.8666666666666667,0.8977777777777778,0.8823529411764706,0.7894736842105263,1.0,0.7333333333333333,22,8,0,30
weak,3,XGBoost,Cascade,0.4,0.6,0.08333333333333333,5,0.8833333333333333,0.9299999999999999,0.8955223880597015,0.8108108108108109,1.0,0.7666666666666667,23,7,0,30
weak,4,Logistic Regression,Stage 1 only,,,0.0,0,0.5833333333333334,0.6477777777777778,0.5901639344262295,0.5806451612903226,0.6,0.5666666666666667,17,13,12,18
weak,4,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7166666666666667,0.8311111111111111,0.711864406779661,0.7241379310344828,0.7,0.7333333333333333,22,8,9,21
weak,4,Logistic Regression,Cascade,0.2,0.8,0.8333333333333334,50,0.7,0.8033333333333333,0.7,0.7,0.7,0.7,21,9,9,21
weak,4,Logistic Regression,Cascade,0.3,0.7,0.65,39,0.7166666666666667,0.7833333333333333,0.7213114754098361,0.7096774193548387,0.7333333333333333,0.7,21,9,8,22
weak,4,Logistic Regression,Cascade,0.4,0.6,0.4,24,0.6666666666666666,0.73,0.6774193548387096,0.65625,0.7,0.6333333333333333,19,11,9,21
weak,4,Random Forest,Stage 1 only,,,0.0,0,0.85,0.8872222222222222,0.8695652173913043,0.7692307692307693,1.0,0.7,21,9,0,30
weak,4,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.8333333333333334,0.9411111111111111,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,4,Random Forest,Cascade,0.2,0.8,0.6,36,0.8333333333333334,0.918888888888889,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,4,Random Forest,Cascade,0.3,0.7,0.35,21,0.85,0.895,0.8656716417910447,0.7837837837837838,0.9666666666666667,0.7333333333333333,22,8,1,29
weak,4,Random Forest,Cascade,0.4,0.6,0.21666666666666667,13,0.8333333333333334,0.8844444444444445,0.8529411764705882,0.7631578947368421,0.9666666666666667,0.7,21,9,1,29
weak,4,XGBoost,Stage 1 only,,,0.0,0,0.7833333333333333,0.8922222222222222,0.8115942028985508,0.717948717948718,0.9333333333333333,0.6333333333333333,19,11,2,28
weak,4,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8333333333333334,0.9366666666666668,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,4,XGBoost,Cascade,0.2,0.8,0.2833333333333333,17,0.8333333333333334,0.9433333333333334,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,4,XGBoost,Cascade,0.3,0.7,0.11666666666666667,7,0.8,0.9111111111111112,0.8235294117647058,0.7368421052631579,0.9333333333333333,0.6666666666666666,20,10,2,28
weak,4,XGBoost,Cascade,0.4,0.6,0.06666666666666667,4,0.7833333333333333,0.9077777777777778,0.8115942028985508,0.717948717948718,0.9333333333333333,0.6333333333333333,19,11,2,28
weak,5,Logistic Regression,Stage 1 only,,,0.0,0,0.6833333333333333,0.6977777777777778,0.6666666666666666,0.7037037037037037,0.6333333333333333,0.7333333333333333,22,8,11,19
weak,5,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7333333333333333,0.8122222222222223,0.7419354838709677,0.71875,0.7666666666666667,0.7,21,9,7,23
weak,5,Logistic Regression,Cascade,0.2,0.8,0.7166666666666667,43,0.7,0.7677777777777778,0.7,0.7,0.7,0.7,21,9,9,21
weak,5,Logistic Regression,Cascade,0.3,0.7,0.4666666666666667,28,0.7166666666666667,0.7244444444444443,0.7017543859649122,0.7407407407407407,0.6666666666666666,0.7666666666666667,23,7,10,20
weak,5,Logistic Regression,Cascade,0.4,0.6,0.2,12,0.7,0.6855555555555556,0.6896551724137931,0.7142857142857143,0.6666666666666666,0.7333333333333333,22,8,10,20
weak,5,Random Forest,Stage 1 only,,,0.0,0,0.85,0.9344444444444445,0.8695652173913043,0.7692307692307693,1.0,0.7,21,9,0,30
weak,5,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9,0.9622222222222222,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,5,Random Forest,Cascade,0.2,0.8,0.55,33,0.9,0.9544444444444444,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,5,Random Forest,Cascade,0.3,0.7,0.2,12,0.8833333333333333,0.9444444444444444,0.8955223880597015,0.8108108108108109,1.0,0.7666666666666667,23,7,0,30
weak,5,Random Forest,Cascade,0.4,0.6,0.08333333333333333,5,0.8666666666666667,0.9411111111111111,0.8823529411764706,0.7894736842105263,1.0,0.7333333333333333,22,8,0,30
weak,5,XGBoost,Stage 1 only,,,0.0,0,0.8166666666666667,0.9544444444444444,0.8307692307692308,0.7714285714285715,0.9,0.7333333333333333,22,8,3,27
weak,5,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
weak,5,XGBoost,Cascade,0.2,0.8,0.23333333333333334,14,0.9,0.9722222222222223,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,5,XGBoost,Cascade,0.3,0.7,0.18333333333333332,11,0.9,0.9566666666666668,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,5,XGBoost,Cascade,0.4,0.6,0.1,6,0.8666666666666667,0.9644444444444444,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,6,Logistic Regression,Stage 1 only,,,0.0,0,0.5833333333333334,0.6377777777777778,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.5,15,15,10,20
weak,6,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7833333333333333,0.8177777777777778,0.7719298245614035,0.8148148148148148,0.7333333333333333,0.8333333333333334,25,5,8,22
weak,6,Logistic Regression,Cascade,0.2,0.8,0.75,45,0.75,0.7622222222222222,0.7368421052631579,0.7777777777777778,0.7,0.8,24,6,9,21
weak,6,Logistic Regression,Cascade,0.3,0.7,0.45,27,0.7,0.7333333333333334,0.7,0.7,0.7,0.7,21,9,9,21
weak,6,Logistic Regression,Cascade,0.4,0.6,0.25,15,0.6333333333333333,0.6599999999999999,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,19,11,11,19
weak,6,Random Forest,Stage 1 only,,,0.0,0,0.8666666666666667,0.9155555555555556,0.8823529411764706,0.7894736842105263,1.0,0.7333333333333333,22,8,0,30
weak,6,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9166666666666666,0.96,0.9206349206349206,0.8787878787878788,0.9666666666666667,0.8666666666666667,26,4,1,29
weak,6,Random Forest,Cascade,0.2,0.8,0.65,39,0.9166666666666666,0.9561111111111111,0.9206349206349206,0.8787878787878788,0.9666666666666667,0.8666666666666667,26,4,1,29
weak,6,Random Forest,Cascade,0.3,0.7,0.31666666666666665,19,0.9,0.9383333333333334,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,6,Random Forest,Cascade,0.4,0.6,0.11666666666666667,7,0.9,0.928888888888889,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,6,XGBoost,Stage 1 only,,,0.0,0,0.8166666666666667,0.9066666666666666,0.8253968253968254,0.7878787878787878,0.8666666666666667,0.7666666666666667,23,7,4,26
weak,6,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8166666666666667,0.8999999999999999,0.8253968253968254,0.7878787878787878,0.8666666666666667,0.7666666666666667,23,7,4,26
weak,6,XGBoost,Cascade,0.2,0.8,0.2833333333333333,17,0.85,0.9177777777777778,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,6,XGBoost,Cascade,0.3,0.7,0.16666666666666666,10,0.85,0.9288888888888889,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,6,XGBoost,Cascade,0.4,0.6,0.06666666666666667,4,0.8333333333333334,0.9266666666666666,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,7,Logistic Regression,Stage 1 only,,,0.0,0,0.5333333333333333,0.5855555555555556,0.5625,0.5294117647058824,0.6,0.4666666666666667,14,16,12,18
weak,7,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.75,0.8655555555555556,0.7368421052631579,0.7777777777777778,0.7,0.8,24,6,9,21
weak,7,Logistic Regression,Cascade,0.2,0.8,0.6666666666666666,40,0.7166666666666667,0.8066666666666668,0.711864406779661,0.7241379310344828,0.7,0.7333333333333333,22,8,9,21
weak,7,Logistic Regression,Cascade,0.3,0.7,0.4666666666666667,28,0.7,0.7644444444444445,0.7,0.7,0.7,0.7,21,9,9,21
weak,7,Logistic Regression,Cascade,0.4,0.6,0.2,12,0.5833333333333334,0.6711111111111111,0.5901639344262295,0.5806451612903226,0.6,0.5666666666666667,17,13,12,18
weak,7,Random Forest,Stage 1 only,,,0.0,0,0.8333333333333334,0.8805555555555555,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,7,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9,0.9299999999999999,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
weak,7,Random Forest,Cascade,0.2,0.8,0.8166666666666667,49,0.9,0.9216666666666666,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
weak,7,Random Forest,Cascade,0.3,0.7,0.5333333333333333,32,0.9,0.91,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
weak,7,Random Forest,Cascade,0.4,0.6,0.25,15,0.8833333333333333,0.8811111111111112,0.8852459016393442,0.8709677419354839,0.9,0.8666666666666667,26,4,3,27
weak,7,XGBoost,Stage 1 only,,,0.0,0,0.8166666666666667,0.8877777777777778,0.8253968253968254,0.7878787878787878,0.8666666666666667,0.7666666666666667,23,7,4,26
weak,7,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8666666666666667,0.9266666666666667,0.8787878787878788,0.8055555555555556,0.9666666666666667,0.7666666666666667,23,7,1,29
weak,7,XGBoost,Cascade,0.2,0.8,0.38333333333333336,23,0.8666666666666667,0.9077777777777778,0.8787878787878788,0.8055555555555556,0.9666666666666667,0.7666666666666667,23,7,1,29
weak,7,XGBoost,Cascade,0.3,0.7,0.2,12,0.8666666666666667,0.911111111111111,0.8787878787878788,0.8055555555555556,0.9666666666666667,0.7666666666666667,23,7,1,29
weak,7,XGBoost,Cascade,0.4,0.6,0.11666666666666667,7,0.8666666666666667,0.8877777777777778,0.8787878787878788,0.8055555555555556,0.9666666666666667,0.7666666666666667,23,7,1,29
weak,8,Logistic Regression,Stage 1 only,,,0.0,0,0.55,0.6288888888888888,0.5423728813559322,0.5517241379310345,0.5333333333333333,0.5666666666666667,17,13,14,16
weak,8,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7,0.8011111111111112,0.6785714285714286,0.7307692307692307,0.6333333333333333,0.7666666666666667,23,7,11,19
weak,8,Logistic Regression,Cascade,0.2,0.8,0.7166666666666667,43,0.7,0.7722222222222223,0.6785714285714286,0.7307692307692307,0.6333333333333333,0.7666666666666667,23,7,11,19
weak,8,Logistic Regression,Cascade,0.3,0.7,0.4,24,0.65,0.6866666666666666,0.6181818181818182,0.68,0.5666666666666667,0.7333333333333333,22,8,13,17
weak,8,Logistic Regression,Cascade,0.4,0.6,0.2,12,0.6,0.61,0.5555555555555556,0.625,0.5,0.7,21,9,15,15
weak,8,Random Forest,Stage 1 only,,,0.0,0,0.8166666666666667,0.9161111111111112,0.8307692307692308,0.7714285714285715,0.9,0.7333333333333333,22,8,3,27
weak,8,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.85,0.9355555555555556,0.847457627118644,0.8620689655172413,0.8333333333333334,0.8666666666666667,26,4,5,25
weak,8,Random Forest,Cascade,0.2,0.8,0.6333333333333333,38,0.8666666666666667,0.92,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
weak,8,Random Forest,Cascade,0.3,0.7,0.3333333333333333,20,0.8833333333333333,0.9422222222222223,0.8852459016393442,0.8709677419354839,0.9,0.8666666666666667,26,4,3,27
weak,8,Random Forest,Cascade,0.4,0.6,0.18333333333333332,11,0.8666666666666667,0.9394444444444444,0.8709677419354839,0.84375,0.9,0.8333333333333334,25,5,3,27
weak,8,XGBoost,Stage 1 only,,,0.0,0,0.7833333333333333,0.8888888888888888,0.8,0.7428571428571429,0.8666666666666667,0.7,21,9,4,26
weak,8,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8166666666666667,0.9122222222222223,0.8135593220338984,0.8275862068965517,0.8,0.8333333333333334,25,5,6,24
weak,8,XGBoost,Cascade,0.2,0.8,0.23333333333333334,14,0.85,0.9166666666666667,0.8524590163934426,0.8387096774193549,0.8666666666666667,0.8333333333333334,25,5,4,26
weak,8,XGBoost,Cascade,0.3,0.7,0.13333333333333333,8,0.8333333333333334,0.9122222222222222,0.8387096774193549,0.8125,0.8666666666666667,0.8,24,6,4,26
weak,8,XGBoost,Cascade,0.4,0.6,0.03333333333333333,2,0.8,0.9033333333333333,0.8181818181818182,0.75,0.9,0.7,21,9,3,27
weak,9,Logistic Regression,Stage 1 only,,,0.0,0,0.5,0.5355555555555556,0.53125,0.5,0.5666666666666667,0.43333333333333335,13,17,13,17
weak,9,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7,0.7844444444444445,0.6666666666666666,0.75,0.6,0.8,24,6,12,18
weak,9,Logistic Regression,Cascade,0.2,0.8,0.7833333333333333,47,0.7,0.77,0.6785714285714286,0.7307692307692307,0.6333333333333333,0.7666666666666667,23,7,11,19
weak,9,Logistic Regression,Cascade,0.3,0.7,0.5166666666666667,31,0.65,0.6822222222222222,0.6440677966101694,0.6551724137931034,0.6333333333333333,0.6666666666666666,20,10,11,19
weak,9,Logistic Regression,Cascade,0.4,0.6,0.25,15,0.5666666666666667,0.6566666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,17,13,13,17
weak,9,Random Forest,Stage 1 only,,,0.0,0,0.8666666666666667,0.9205555555555556,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,9,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.85,0.9122222222222222,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
weak,9,Random Forest,Cascade,0.2,0.8,0.8166666666666667,49,0.85,0.8949999999999999,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
weak,9,Random Forest,Cascade,0.3,0.7,0.6,36,0.85,0.9033333333333333,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
weak,9,Random Forest,Cascade,0.4,0.6,0.26666666666666666,16,0.8333333333333334,0.9105555555555556,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,9,XGBoost,Stage 1 only,,,0.0,0,0.85,0.93,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,9,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8,0.8833333333333334,0.8,0.8,0.8,0.8,24,6,6,24
weak,9,XGBoost,Cascade,0.2,0.8,0.2833333333333333,17,0.8666666666666667,0.9222222222222222,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,9,XGBoost,Cascade,0.3,0.7,0.18333333333333332,11,0.85,0.9222222222222222,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
weak,9,XGBoost,Cascade,0.4,0.6,0.03333333333333333,2,0.8333333333333334,0.92,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,10,Logistic Regression,Stage 1 only,,,0.0,0,0.5833333333333334,0.6033333333333333,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.5,15,15,10,20
weak,10,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.6666666666666666,0.8011111111111111,0.6774193548387096,0.65625,0.7,0.6333333333333333,19,11,9,21
weak,10,Logistic Regression,Cascade,0.2,0.8,0.7833333333333333,47,0.6166666666666667,0.7611111111111111,0.6229508196721312,0.6129032258064516,0.6333333333333333,0.6,18,12,11,19
weak,10,Logistic Regression,Cascade,0.3,0.7,0.6,36,0.5666666666666667,0.7033333333333334,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,17,13,13,17
weak,10,Logistic Regression,Cascade,0.4,0.6,0.25,15,0.6,0.6566666666666667,0.6129032258064516,0.59375,0.6333333333333333,0.5666666666666667,17,13,11,19
weak,10,Random Forest,Stage 1 only,,,0.0,0,0.8333333333333334,0.9372222222222222,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,10,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9166666666666666,0.9594444444444444,0.9230769230769231,0.8571428571428571,1.0,0.8333333333333334,25,5,0,30
weak,10,Random Forest,Cascade,0.2,0.8,0.65,39,0.9166666666666666,0.9694444444444444,0.9230769230769231,0.8571428571428571,1.0,0.8333333333333334,25,5,0,30
weak,10,Random Forest,Cascade,0.3,0.7,0.43333333333333335,26,0.9,0.9616666666666667,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,10,Random Forest,Cascade,0.4,0.6,0.11666666666666667,7,0.8666666666666667,0.9561111111111111,0.8823529411764706,0.7894736842105263,1.0,0.7333333333333333,22,8,0,30
weak,10,XGBoost,Stage 1 only,,,0.0,0,0.8666666666666667,0.9355555555555556,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,10,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.7833333333333333,0.9199999999999999,0.7868852459016393,0.7741935483870968,0.8,0.7666666666666667,23,7,6,24
weak,10,XGBoost,Cascade,0.2,0.8,0.45,27,0.8333333333333334,0.938888888888889,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,10,XGBoost,Cascade,0.3,0.7,0.3,18,0.85,0.9422222222222222,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,10,XGBoost,Cascade,0.4,0.6,0.08333333333333333,5,0.8833333333333333,0.9511111111111111,0.8888888888888888,0.8484848484848485,0.9333333333333333,0.8333333333333334,25,5,2,28
weak,11,Logistic Regression,Stage 1 only,,,0.0,0,0.6166666666666667,0.5944444444444444,0.5660377358490566,0.6521739130434783,0.5,0.7333333333333333,22,8,15,15
weak,11,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.8,0.8222222222222222,0.8,0.8,0.8,0.8,24,6,6,24
weak,11,Logistic Regression,Cascade,0.2,0.8,0.75,45,0.7333333333333333,0.7933333333333333,0.7241379310344828,0.75,0.7,0.7666666666666667,23,7,9,21
weak,11,Logistic Regression,Cascade,0.3,0.7,0.45,27,0.7333333333333333,0.8088888888888889,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.8,24,6,10,20
weak,11,Logistic Regression,Cascade,0.4,0.6,0.16666666666666666,10,0.6666666666666666,0.6811111111111111,0.6296296296296297,0.7083333333333334,0.5666666666666667,0.7666666666666667,23,7,13,17
weak,11,Random Forest,Stage 1 only,,,0.0,0,0.8833333333333333,0.8738888888888889,0.8923076923076924,0.8285714285714286,0.9666666666666667,0.8,24,6,1,29
weak,11,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.85,0.9538888888888889,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,11,Random Forest,Cascade,0.2,0.8,0.8166666666666667,49,0.85,0.9277777777777778,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,11,Random Forest,Cascade,0.3,0.7,0.48333333333333334,29,0.85,0.8977777777777779,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
